X Y 
0.120 3.662
-0.632 3.188
0.670 5.433
-0.808 2.768
0.939 5.259
-0.240 4.160
-1.486 0.863
-0.585 1.335
0.430 4.429
-0.403 2.668
0.590 3.249
-0.598 2.473
0.000 3.566
-1.512 0.603
0.680 3.787
1.201 5.752
0.425 3.114
-0.469 2.055
1.470 5.792
-0.825 2.416
-1.170 1.576
0.769 5.371
0.822 5.441
0.371 5.757
1.311 5.874
0.116 2.347
-1.497 -0.424
0.769 4.365
1.475 5.014
0.830 5.957
0.601 4.259
-1.558 -0.598
0.253 1.835
-0.127 3.443
0.023 3.849
-0.247 2.740
-1.749 -1.108
-0.974 2.924
1.845 5.643
-1.463 0.582
-0.074 3.502
-0.916 1.468
1.245 6.374
-0.062 4.239
0.504 3.613
-0.399 0.759
0.495 2.980
0.592 4.936
-0.680 1.386
0.907 4.064
-0.364 1.270
-0.908 1.087
-1.205 1.340
-1.438 -0.782
-0.800 1.118
-0.769 1.503
2.367 8.035
0.586 3.964
0.046 2.918
0.225 4.494
0.696 5.447
0.221 3.255
-0.111 1.039
-1.794 1.427
2.254 6.079
4.000 11.667
-1.386 0.235
0.752 5.650
-0.171 2.772
1.834 4.619
-1.182 -0.115
-0.884 0.202
-0.321 0.429
0.958 4.529
1.146 5.385
1.600 6.130
4.000 -2.000
0.000 -3.000
-0.080 3.834
-0.237 2.777
0.117 3.356
-1.481 -0.889
-0.371 4.448
0.865 5.557
0.887 3.830
-1.703 -1.174
0.951 5.124
0.667 3.684
0.317 3.649
-1.068 1.536
-0.127 3.060
-0.427 3.488
0.810 4.946
1.209 5.219
-0.439 3.476
1.401 6.752
-1.064 1.299
-0.027 4.731
-0.335 3.035
0.928 4.109
